datatime;timestamp;DevDatetime;CO [ppm];CO2 [ppm]
2025-03-17 01:54:05;1742165645;17.03.25 02:04:31;0.2;431
2025-03-17 01:55:05;1742165705;17.03.25 02:05:19;0.2;435
2025-03-17 01:56:05;1742165765;17.03.25 02:06:23;0.2;428
2025-03-17 01:57:05;1742165825;17.03.25 02:07:27;0.2;428
2025-03-17 01:58:05;1742165885;17.03.25 02:08:31;0.2;427
2025-03-17 01:59:05;1742165945;17.03.25 02:09:19;0.2;427
2025-03-17 02:00:05;1742166005;17.03.25 02:10:23;0.2;429
2025-03-17 02:01:06;1742166066;17.03.25 02:11:27;0.2;432
2025-03-17 02:02:06;1742166126;17.03.25 02:12:31;0.2;434
2025-03-17 02:03:06;1742166186;17.03.25 02:13:28;0.2;433
2025-03-17 02:04:06;1742166246;17.03.25 02:14:32;0.2;437
2025-03-17 02:05:06;1742166306;17.03.25 02:15:27;0.2;445
2025-03-17 02:06:06;1742166366;17.03.25 02:16:31;0.2;432
2025-03-17 02:07:06;1742166426;17.03.25 02:17:23;0.2;432
2025-03-17 02:08:06;1742166486;17.03.25 02:18:27;0.2;426
2025-03-17 02:09:06;1742166546;17.03.25 02:19:31;0.2;437
2025-03-17 02:10:06;1742166606;17.03.25 02:20:31;0.2;435
2025-03-17 02:11:06;1742166666;17.03.25 02:21:19;0.2;447
2025-03-17 02:12:06;1742166726;17.03.25 02:22:23;0.2;432
2025-03-17 02:13:06;1742166786;17.03.25 02:23:27;0.2;435
2025-03-17 02:14:06;1742166846;17.03.25 02:24:31;0.2;432
2025-03-17 02:15:06;1742166906;17.03.25 02:25:19;0.2;431
2025-03-17 02:16:06;1742166966;17.03.25 02:26:23;0.1;427
2025-03-17 02:17:06;1742167026;17.03.25 02:27:27;0.2;434
2025-03-17 02:18:06;1742167086;17.03.25 02:28:31;0.2;428
2025-03-17 02:19:06;1742167146;17.03.25 02:29:30;0.2;429
2025-03-17 02:20:06;1742167206;17.03.25 02:30:23;0.2;429
2025-03-17 02:21:06;1742167266;17.03.25 02:31:27;0.2;443
2025-03-17 02:22:06;1742167326;17.03.25 02:32:31;0.2;434
2025-03-17 02:23:06;1742167386;17.03.25 02:33:25;0.2;438
2025-03-17 02:24:06;1742167446;17.03.25 02:34:29;0.2;435
2025-03-17 02:25:06;1742167506;17.03.25 02:35:27;0.2;435
2025-03-17 02:26:06;1742167566;17.03.25 02:36:31;0.2;435
2025-03-17 02:27:06;1742167626;17.03.25 02:37:20;0.2;435
2025-03-17 02:28:06;1742167686;17.03.25 02:38:24;0.2;435
2025-03-17 02:29:06;1742167746;17.03.25 02:39:28;0.2;437
2025-03-17 02:30:06;1742167806;17.03.25 02:40:31;0.2;434
2025-03-17 02:31:06;1742167866;17.03.25 02:41:19;0.2;441
2025-03-17 02:32:06;1742167926;17.03.25 02:42:23;0.2;431
2025-03-17 02:33:06;1742167986;17.03.25 02:43:27;0.1;433
2025-03-17 02:34:06;1742168046;17.03.25 02:44:31;0.2;433
2025-03-17 02:35:06;1742168106;17.03.25 02:45:32;0.2;431
2025-03-17 02:36:06;1742168166;17.03.25 02:46:23;0.2;426
2025-03-17 02:37:06;1742168226;17.03.25 02:47:27;0.2;430
2025-03-17 02:38:06;1742168286;17.03.25 02:48:31;0.2;431
2025-03-17 02:39:06;1742168346;17.03.25 02:49:27;0.2;431
2025-03-17 02:40:06;1742168406;17.03.25 02:50:31;0.2;438
2025-03-17 02:41:06;1742168466;17.03.25 02:51:27;0.2;433
2025-03-17 02:42:06;1742168526;17.03.25 02:52:31;0.2;444
2025-03-17 02:43:06;1742168586;17.03.25 02:53:22;0.2;434
2025-03-17 02:44:06;1742168646;17.03.25 02:54:26;0.2;432
2025-03-17 02:45:42;1742168742;17.03.25 02:55:59;0.2;437
2025-03-17 02:46:42;1742168802;17.03.25 02:57:03;0.2;438
2025-03-17 02:47:42;1742168862;17.03.25 02:58:07;0.2;426
2025-03-17 02:48:42;1742168922;17.03.25 02:59:04;0.2;443
2025-03-17 02:49:42;1742168982;17.03.25 03:00:08;0.2;440
2025-03-17 02:50:42;1742169042;17.03.25 03:01:03;0.2;435
2025-03-17 02:51:43;1742169103;17.03.25 03:02:07;0.1;433
2025-03-17 02:52:43;1742169163;17.03.25 03:02:59;0.2;431
2025-03-17 02:53:43;1742169223;17.03.25 03:04:04;0.2;427
2025-03-17 02:54:43;1742169283;17.03.25 03:05:08;0.2;428
2025-03-17 02:55:43;1742169343;17.03.25 03:06:08;0.2;427
2025-03-17 02:56:43;1742169403;17.03.25 03:06:55;0.2;426
2025-03-17 02:57:43;1742169463;17.03.25 03:07:59;0.2;424
2025-03-17 02:58:43;1742169523;17.03.25 03:09:03;0.2;422
2025-03-17 02:59:43;1742169583;17.03.25 03:10:07;0.2;434
2025-03-17 03:00:43;1742169643;17.03.25 03:10:55;0.2;436
2025-03-17 03:01:43;1742169703;17.03.25 03:11:59;0.2;433
2025-03-17 03:02:43;1742169763;17.03.25 03:13:03;0.2;432
2025-03-17 03:03:43;1742169823;17.03.25 03:14:07;0.2;429
2025-03-17 03:04:43;1742169883;17.03.25 03:15:06;0.2;432
2025-03-17 03:05:43;1742169943;17.03.25 03:15:59;0.2;430
2025-03-17 03:06:43;1742170003;17.03.25 03:17:03;0.2;435
2025-03-17 03:07:43;1742170063;17.03.25 03:18:07;0.2;435
2025-03-17 03:08:43;1742170123;17.03.25 03:19:02;0.2;437
2025-03-17 03:09:43;1742170183;17.03.25 03:20:06;0.1;439
2025-03-17 03:10:43;1742170243;17.03.25 03:20:48;0.2;438
2025-03-17 03:11:43;1742170303;17.03.25 03:22:07;0.2;438
2025-03-17 03:12:43;1742170363;17.03.25 03:22:57;0.2;437
2025-03-17 03:13:43;1742170423;17.03.25 03:24:01;0.1;437
2025-03-17 03:14:43;1742170483;17.03.25 03:25:05;0.2;438
2025-03-17 03:15:43;1742170543;17.03.25 03:26:09;0.2;441
2025-03-17 03:16:43;1742170603;17.03.25 03:26:55;0.1;421
2025-03-17 03:17:43;1742170663;17.03.25 03:27:59;0.2;430
2025-03-17 03:18:43;1742170723;17.03.25 03:29:03;0.2;439
2025-03-17 03:19:43;1742170783;17.03.25 03:30:07;0.2;438
2025-03-17 03:20:43;1742170843;17.03.25 03:31:08;0.2;437
2025-03-17 03:21:43;1742170903;17.03.25 03:31:59;0.2;437
2025-03-17 03:22:43;1742170963;17.03.25 03:33:03;0.2;434
2025-03-17 03:23:43;1742171023;17.03.25 03:34:07;0.2;438
2025-03-17 03:24:43;1742171083;17.03.25 03:35:04;0.1;437
2025-03-17 03:25:43;1742171143;17.03.25 03:36:08;0.2;428
2025-03-17 03:26:43;1742171203;17.03.25 03:37:03;0.2;428
2025-03-17 03:27:43;1742171263;17.03.25 03:37:55;0.2;433
2025-03-17 03:28:43;1742171323;17.03.25 03:38:59;0.2;435
2025-03-17 03:29:43;1742171383;17.03.25 03:40:03;0.2;431
2025-03-17 03:30:43;1742171443;17.03.25 03:41:07;0.2;428
2025-03-17 03:31:43;1742171503;17.03.25 03:42:07;0.2;436
2025-03-17 03:32:43;1742171563;17.03.25 03:42:55;0.2;436
2025-03-17 03:33:43;1742171623;17.03.25 03:43:59;0.2;436
2025-03-17 03:34:43;1742171683;17.03.25 03:45:03;0.1;433
2025-03-17 03:35:43;1742171743;17.03.25 03:46:07;0.2;438
2025-03-17 03:36:43;1742171803;17.03.25 03:46:55;0.2;440
2025-03-17 03:37:43;1742171863;17.03.25 03:47:59;0.2;436
2025-03-17 03:38:43;1742171923;17.03.25 03:49:03;0.2;429
2025-03-17 03:39:43;1742171983;17.03.25 03:50:07;0.2;429
2025-03-17 03:40:43;1742172043;17.03.25 03:51:06;0.2;427
2025-03-17 03:41:43;1742172103;17.03.25 03:51:59;0.2;439
2025-03-17 03:42:43;1742172163;17.03.25 03:53:03;0.2;423
2025-03-17 03:43:43;1742172223;17.03.25 03:54:08;0.2;432
2025-03-17 03:44:43;1742172283;17.03.25 03:55:01;0.2;432
2025-03-17 03:45:43;1742172343;17.03.25 03:56:05;0.2;429
2025-03-17 03:46:43;1742172403;17.03.25 03:57:09;0.1;417
2025-03-17 03:47:43;1742172463;17.03.25 03:58:08;0.2;431
2025-03-17 03:48:43;1742172523;17.03.25 03:58:56;0.2;428
2025-03-17 03:49:43;1742172583;17.03.25 04:00:00;0.2;429
2025-03-17 03:50:43;1742172643;17.03.25 04:01:05;0.2;433
2025-03-17 03:51:43;1742172703;17.03.25 04:02:09;0.2;433
2025-03-17 03:52:43;1742172763;17.03.25 04:02:51;0.2;433
2025-03-17 03:53:43;1742172823;17.03.25 04:04:00;0.2;435
2025-03-17 03:54:43;1742172883;17.03.25 04:05:04;0.2;435
2025-03-17 03:55:43;1742172943;17.03.25 04:06:08;0.2;435
2025-03-17 03:56:43;1742173003;17.03.25 04:07:08;0.2;431
2025-03-17 03:57:43;1742173063;17.03.25 04:08:00;0.1;437
2025-03-17 03:58:43;1742173123;17.03.25 04:09:04;0.2;438
2025-03-17 03:59:43;1742173183;17.03.25 04:10:08;0.2;436
2025-03-17 04:00:43;1742173243;17.03.25 04:11:03;0.1;437
2025-03-17 04:01:43;1742173303;17.03.25 04:12:07;0.2;436
2025-03-17 04:02:43;1742173363;17.03.25 04:13:04;0.2;435
2025-03-17 04:03:43;1742173423;17.03.25 04:14:08;0.2;427
2025-03-17 04:04:43;1742173483;17.03.25 04:14:58;0.2;427
2025-03-17 04:05:43;1742173543;17.03.25 04:16:03;0.2;433
2025-03-17 04:06:43;1742173603;17.03.25 04:17:07;0.2;434
2025-03-17 04:07:43;1742173663;17.03.25 04:18:08;0.2;434
2025-03-17 04:08:43;1742173723;17.03.25 04:18:56;0.2;426
2025-03-17 04:09:43;1742173783;17.03.25 04:20:00;0.2;445
2025-03-17 04:10:43;1742173843;17.03.25 04:21:04;0.2;439
2025-03-17 04:11:43;1742173903;17.03.25 04:22:08;0.2;439
2025-03-17 04:12:43;1742173963;17.03.25 04:23:10;0.1;439
2025-03-17 04:13:43;1742174023;17.03.25 04:24:00;0.2;430
2025-03-17 04:14:43;1742174083;17.03.25 04:25:04;0.2;448
2025-03-17 04:15:43;1742174143;17.03.25 04:26:08;0.2;433
2025-03-17 04:16:43;1742174203;17.03.25 04:27:05;0.2;424
2025-03-17 04:17:43;1742174263;17.03.25 04:28:09;0.2;433
2025-03-17 04:18:43;1742174323;17.03.25 04:29:04;0.2;441
2025-03-17 04:19:43;1742174383;17.03.25 04:30:08;0.2;429
2025-03-17 04:20:43;1742174443;17.03.25 04:31:00;0.2;443
2025-03-17 04:21:43;1742174503;17.03.25 04:32:05;0.2;432
2025-03-17 04:22:43;1742174563;17.03.25 04:33:09;0.2;442
2025-03-17 04:23:44;1742174624;17.03.25 04:34:08;0.1;442
2025-03-17 04:24:44;1742174684;17.03.25 04:34:56;0.2;427
